img,camera_short_name,camera_long_name,counter,suspect,eye,height,width,areaDisc,saturationPixels,saturationLevel,scale,g,b,factor,M,P,C
G-TPC0020-R.jpg,TPC,Topcon,20,1,R,1934,1956,53959,3481,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0021-R.jpg,TPC,Topcon,21,1,R,1934,1956,53452,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0022-L.jpg,TPC,Topcon,22,1,L,1934,1956,40892,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0023-R.jpg,TPC,Topcon,23,1,R,1934,1956,63061,12662,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0024-L.jpg,TPC,Topcon,24,1,L,1934,1956,62805,5433,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0025-L.jpg,TPC,Topcon,25,1,L,1934,1956,48657,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0026-R.jpg,TPC,Topcon,26,1,R,1934,1956,61873,3978,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0027-L.jpg,TPC,Topcon,27,1,L,1934,1956,64279,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0028-R.jpg,TPC,Topcon,28,1,R,1934,1956,41036,18,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0029-R.jpg,TPC,Topcon,29,1,R,1934,1956,56497,24754,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0030-L.jpg,TPC,Topcon,30,1,L,1934,1956,58424,5228,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0031-R.jpg,TPC,Topcon,31,1,R,1934,1956,43805,7590,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0032-L.jpg,TPC,Topcon,32,1,L,1934,1956,53891,2785,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0033-R.jpg,TPC,Topcon,33,1,R,1934,1956,58058,21150,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0034-R.jpg,TPC,Topcon,34,1,R,1934,1956,62342,25926,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0035-L.jpg,TPC,Topcon,35,1,L,1934,1956,60351,25958,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0036-R.jpg,TPC,Topcon,36,1,R,1934,1956,53700,23175,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0037-L.jpg,TPC,Topcon,37,1,L,1934,1956,62366,3065,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0038-R.jpg,TPC,Topcon,38,1,R,1934,1956,51940,13111,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0039-L.jpg,TPC,Topcon,39,1,L,1934,1956,55199,10708,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0040-R.jpg,TPC,Topcon,40,1,R,1934,1956,56611,9778,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0041-L.jpg,TPC,Topcon,41,1,L,1934,1956,47566,19479,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0042-R.jpg,TPC,Topcon,42,1,R,1934,1956,57056,3205,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0043-R.jpg,TPC,Topcon,43,1,R,1934,1956,80343,15774,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0044-L.jpg,TPC,Topcon,44,1,L,1934,1956,71942,6593,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0045-R.jpg,TPC,Topcon,45,1,R,1934,1956,55849,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0046-R.jpg,TPC,Topcon,46,1,R,1934,1956,80065,31591,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0047-L.jpg,TPC,Topcon,47,1,L,1934,1956,67066,25722,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0048-L.jpg,TPC,Topcon,48,1,L,1934,1956,58138,34,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0049-R.jpg,TPC,Topcon,49,1,R,1934,1956,52420,2424,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0050-L.jpg,TPC,Topcon,50,1,L,1934,1956,79351,9990,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0051-L.jpg,TPC,Topcon,51,1,L,1934,1956,70424,16033,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0052-L.jpg,TPC,Topcon,52,1,L,1934,1956,54942,3265,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0053-L.jpg,TPC,Topcon,53,1,L,1934,1956,53730,14907,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0054-R.jpg,TPC,Topcon,54,1,R,1934,1956,68482,19929,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0055-L.jpg,TPC,Topcon,55,1,L,1934,1956,81766,2410,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0056-L.jpg,TPC,Topcon,56,1,L,1934,1956,70237,16108,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0057-R.jpg,TPC,Topcon,57,1,R,1934,1956,54000,4961,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0058-L.jpg,TPC,Topcon,58,1,L,1934,1956,42696,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0059-R.jpg,TPC,Topcon,59,1,R,1934,1956,51867,3750,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0060-R.jpg,TPC,Topcon,60,1,R,1934,1956,50771,23943,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0061-R.jpg,TPC,Topcon,61,1,R,1934,1956,45765,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0062-L.jpg,TPC,Topcon,62,1,L,1934,1956,44518,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0063-R.jpg,TPC,Topcon,63,1,R,1934,1956,49844,2127,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0064-R.jpg,TPC,Topcon,64,1,R,1934,1956,42972,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0065-R.jpg,TPC,Topcon,65,1,R,1934,1956,72471,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0066-R.jpg,TPC,Topcon,66,1,R,1934,1956,49904,7746,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0067-L.jpg,TPC,Topcon,67,1,L,1934,1956,57720,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0068-L.jpg,TPC,Topcon,68,1,L,1934,1956,50176,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0069-R.jpg,TPC,Topcon,69,1,R,1934,1956,40647,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0070-L.jpg,TPC,Topcon,70,1,L,1934,1956,51092,35,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0071-R.jpg,TPC,Topcon,71,1,R,1934,1956,62140,25910,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0072-L.jpg,TPC,Topcon,72,1,L,1934,1956,61312,17926,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0073-L.jpg,TPC,Topcon,73,1,L,1934,1956,65222,26197,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0074-L.jpg,TPC,Topcon,74,1,L,1934,1956,48954,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0075-L.jpg,TPC,Topcon,75,1,L,1934,1956,49775,452,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0076-R.jpg,TPC,Topcon,76,1,R,1934,1956,39738,1827,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0077-R.jpg,TPC,Topcon,77,1,R,1934,1956,76266,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0078-R.jpg,TPC,Topcon,78,1,R,1934,1956,44125,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0079-L.jpg,TPC,Topcon,79,1,L,1934,1956,50162,16667,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0080-L.jpg,TPC,Topcon,80,1,L,1934,1956,60040,128,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0081-L.jpg,TPC,Topcon,81,1,L,1934,1956,44778,2926,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0082-R.jpg,TPC,Topcon,82,1,R,1934,1956,63704,17921,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0083-R.jpg,TPC,Topcon,83,1,R,1934,1956,55482,4190,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0084-L.jpg,TPC,Topcon,84,1,L,1934,1956,44462,392,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0085-L.jpg,TPC,Topcon,85,1,L,1934,1956,59160,21455,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0086-R.jpg,TPC,Topcon,86,1,R,1934,1956,45735,12080,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0087-L.jpg,TPC,Topcon,87,1,L,1934,1956,52324,21730,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0088-L.jpg,TPC,Topcon,88,1,L,1934,1956,56997,7236,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0089-R.jpg,TPC,Topcon,89,1,R,1934,1956,54625,13303,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0090-R.jpg,TPC,Topcon,90,1,R,1934,1956,45837,19272,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0091-L.jpg,TPC,Topcon,91,1,L,1934,1956,71528,7623,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0092-R.jpg,TPC,Topcon,92,1,R,1934,1956,77045,26156,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0093-L.jpg,TPC,Topcon,93,1,L,1934,1956,60778,4509,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0094-L.jpg,TPC,Topcon,94,1,L,1934,1956,57666,1188,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0095-R.jpg,TPC,Topcon,95,1,R,1934,1956,79494,27767,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0096-R.jpg,TPC,Topcon,96,1,R,1934,1956,54630,1,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0097-R.jpg,TPC,Topcon,97,1,R,1934,1956,56167,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0098-L.jpg,TPC,Topcon,98,1,L,1934,1956,43030,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0099-L.jpg,TPC,Topcon,99,1,L,1934,1956,56210,4020,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0100-R.jpg,TPC,Topcon,100,1,R,1934,1956,50335,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0101-L.jpg,TPC,Topcon,101,1,L,1934,1956,49467,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0102-L.jpg,TPC,Topcon,102,1,L,1934,1956,42106,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0103-L.jpg,TPC,Topcon,103,1,L,1934,1956,43319,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0104-L.jpg,TPC,Topcon,104,1,L,1934,1956,39073,6205,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0105-L.jpg,TPC,Topcon,105,1,L,1934,1956,70549,14942,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0106-L.jpg,TPC,Topcon,106,1,L,1934,1956,41158,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0107-L.jpg,TPC,Topcon,107,1,L,1934,1956,36094,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0108-L.jpg,TPC,Topcon,108,1,L,1934,1956,55175,16790,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0109-R.jpg,TPC,Topcon,109,1,R,1934,1956,47913,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0110-R.jpg,TPC,Topcon,110,1,R,1934,1956,35943,1456,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0111-L.jpg,TPC,Topcon,111,1,L,1934,1956,50257,19865,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0112-R.jpg,TPC,Topcon,112,1,R,1934,1956,49426,20411,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0113-R.jpg,TPC,Topcon,113,1,R,1934,1956,52520,15259,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0114-L.jpg,TPC,Topcon,114,1,L,1934,1956,47247,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0115-R.jpg,TPC,Topcon,115,1,R,1934,1956,52564,17949,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0116-L.jpg,TPC,Topcon,116,1,L,1934,1956,64792,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0117-R.jpg,TPC,Topcon,117,1,R,1934,1956,39902,5673,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0118-L.jpg,TPC,Topcon,118,1,L,1934,1956,41870,2145,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0119-L.jpg,TPC,Topcon,119,1,L,1934,1956,59284,3818,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0120-L.jpg,TPC,Topcon,120,1,L,1934,1956,58753,13374,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0121-R.jpg,TPC,Topcon,121,1,R,1934,1956,59782,26541,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0122-L.jpg,TPC,Topcon,122,1,L,1934,1956,55043,24864,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0123-R.jpg,TPC,Topcon,123,1,R,1934,1956,44641,20078,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0124-L.jpg,TPC,Topcon,124,1,L,1934,1956,62112,25789,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0125-L.jpg,TPC,Topcon,125,1,L,1934,1956,36221,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0126-R.jpg,TPC,Topcon,126,1,R,1934,1956,44415,5562,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0127-R.jpg,TPC,Topcon,127,1,R,1934,1956,49754,1463,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0128-L.jpg,TPC,Topcon,128,1,L,1934,1956,40139,6,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0129-L.jpg,TPC,Topcon,129,1,L,1934,1956,36920,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0130-R.jpg,TPC,Topcon,130,1,R,1934,1956,44444,11348,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0131-L.jpg,TPC,Topcon,131,1,L,1934,1956,39858,11394,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0132-L.jpg,TPC,Topcon,132,1,L,1934,1956,66872,25095,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0133-R.jpg,TPC,Topcon,133,1,R,1934,1956,34436,13439,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0134-L.jpg,TPC,Topcon,134,1,L,1934,1956,35019,10677,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0135-R.jpg,TPC,Topcon,135,1,R,1934,1956,48209,4970,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0136-R.jpg,TPC,Topcon,136,1,R,1934,1956,37480,1102,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0137-L.jpg,TPC,Topcon,137,1,L,1934,1956,39825,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0138-R.jpg,TPC,Topcon,138,1,R,1934,1956,55947,10142,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0139-L.jpg,TPC,Topcon,139,1,L,1934,1956,51989,11692,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0140-R.jpg,TPC,Topcon,140,1,R,1934,1956,66907,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0141-L.jpg,TPC,Topcon,141,1,L,1934,1956,50253,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0142-L.jpg,TPC,Topcon,142,1,L,1934,1956,48765,13687,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0143-R.jpg,TPC,Topcon,143,1,R,1934,1956,42513,10850,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0144-R.jpg,TPC,Topcon,144,1,R,1934,1956,24920,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0145-L.jpg,TPC,Topcon,145,1,L,1934,1956,68924,25632,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0146-L.jpg,TPC,Topcon,146,1,L,1934,1956,41940,8,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0147-L.jpg,TPC,Topcon,147,1,L,1934,1956,52335,2830,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0148-R.jpg,TPC,Topcon,148,1,R,1934,1956,57510,18181,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0149-R.jpg,TPC,Topcon,149,1,R,1934,1956,61757,12626,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0150-L.jpg,TPC,Topcon,150,1,L,1934,1956,65950,21096,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0151-R.jpg,TPC,Topcon,151,1,R,1934,1956,43823,3976,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0152-R.jpg,TPC,Topcon,152,1,R,1934,1956,48564,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0153-R.jpg,TPC,Topcon,153,1,R,1934,1956,51442,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0154-L.jpg,TPC,Topcon,154,1,L,1934,1956,52039,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0155-L.jpg,TPC,Topcon,155,1,L,1934,1956,52064,21129,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0156-R.jpg,TPC,Topcon,156,1,R,1934,1956,60844,8384,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0157-L.jpg,TPC,Topcon,157,1,L,1934,1956,57045,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0158-R.jpg,TPC,Topcon,158,1,R,1934,1956,67650,527,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0159-R.jpg,TPC,Topcon,159,1,R,1934,1956,45240,609,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0160-L.jpg,TPC,Topcon,160,1,L,1934,1956,40365,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0161-R.jpg,TPC,Topcon,161,1,R,1934,1956,42791,3677,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0162-R.jpg,TPC,Topcon,162,1,R,1934,1956,65522,19,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0163-R.jpg,TPC,Topcon,163,1,R,1934,1956,53513,8703,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0164-L.jpg,TPC,Topcon,164,1,L,1934,1956,51612,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0165-L.jpg,TPC,Topcon,165,1,L,1934,1956,49665,3914,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0166-L.jpg,TPC,Topcon,166,1,L,1934,1956,43111,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0167-L.jpg,TPC,Topcon,167,1,L,1934,1956,45145,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0168-R.jpg,TPC,Topcon,168,1,R,1934,1956,34119,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0169-L.jpg,TPC,Topcon,169,1,L,1934,1956,36057,2448,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0170-L.jpg,TPC,Topcon,170,1,L,1934,1956,43389,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0171-R.jpg,TPC,Topcon,171,1,R,1934,1956,59970,25450,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0172-L.jpg,TPC,Topcon,172,1,L,1934,1956,33973,3415,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0173-R.jpg,TPC,Topcon,173,1,R,1934,1956,31480,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0174-L.jpg,TPC,Topcon,174,1,L,1934,1956,32746,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0175-L.jpg,TPC,Topcon,175,1,L,1934,1956,47899,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0176-R.jpg,TPC,Topcon,176,1,R,1934,1956,76820,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0177-R.jpg,TPC,Topcon,177,1,R,1934,1956,48434,4629,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0178-R.jpg,TPC,Topcon,178,1,R,1934,1956,61990,469,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0179-L.jpg,TPC,Topcon,179,1,L,1934,1956,55624,17627,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0180-R.jpg,TPC,Topcon,180,1,R,1934,1956,49229,12177,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0181-L.jpg,TPC,Topcon,181,1,L,1934,1956,64646,8,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0182-R.jpg,TPC,Topcon,182,1,R,1934,1956,53017,21495,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0183-L.jpg,TPC,Topcon,183,1,L,1934,1956,54032,8625,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0184-R.jpg,TPC,Topcon,184,1,R,1934,1956,70250,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0185-R.jpg,TPC,Topcon,185,1,R,1934,1956,26562,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0186-L.jpg,TPC,Topcon,186,1,L,1934,1956,45432,3235,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0187-R.jpg,TPC,Topcon,187,1,R,1934,1956,54940,139,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0188-L.jpg,TPC,Topcon,188,1,L,1934,1956,55148,14239,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0189-R.jpg,TPC,Topcon,189,1,R,1934,1956,54414,11857,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0190-L.jpg,TPC,Topcon,190,1,L,1934,1956,60490,2724,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0191-L.jpg,TPC,Topcon,191,1,L,1934,1956,50741,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0192-R.jpg,TPC,Topcon,192,1,R,1934,1956,62126,8108,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0193-L.jpg,TPC,Topcon,193,1,L,1934,1956,58821,3677,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0194-L.jpg,TPC,Topcon,194,1,L,1934,1956,52169,23374,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0195-R.jpg,TPC,Topcon,195,1,R,1934,1956,70722,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0196-L.jpg,TPC,Topcon,196,1,L,1934,1956,74107,4675,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0197-R.jpg,TPC,Topcon,197,1,R,1934,1956,69276,10584,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0198-L.jpg,TPC,Topcon,198,1,L,1934,1956,76830,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0199-R.jpg,TPC,Topcon,199,1,R,1934,1956,37779,2694,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0200-L.jpg,TPC,Topcon,200,1,L,1934,1956,38517,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0201-R.jpg,TPC,Topcon,201,1,R,1934,1956,36329,4702,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0202-R.jpg,TPC,Topcon,202,1,R,1934,1956,32494,12979,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0203-L.jpg,TPC,Topcon,203,1,L,1934,1956,34900,12660,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0204-L.jpg,TPC,Topcon,204,1,L,1934,1956,65999,18345,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0205-R.jpg,TPC,Topcon,205,1,R,1934,1956,50327,16568,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0206-L.jpg,TPC,Topcon,206,1,L,1934,1956,60374,13000,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0207-L.jpg,TPC,Topcon,207,1,L,1934,1956,59736,13578,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0208-R.jpg,TPC,Topcon,208,1,R,1934,1956,43076,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0209-R.jpg,TPC,Topcon,209,1,R,1934,1956,55448,9091,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0210-L.jpg,TPC,Topcon,210,1,L,1934,1956,47283,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0211-L.jpg,TPC,Topcon,211,1,L,1934,1956,38840,1024,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0212-L.jpg,TPC,Topcon,212,1,L,1934,1956,64185,11284,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0213-R.jpg,TPC,Topcon,213,1,R,1934,1956,58975,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0214-R.jpg,TPC,Topcon,214,1,R,1934,1956,50486,13506,99,1081,1,1,0.9985,64.52,18,62.85
